item_image,item_name,item_price,item_url,item_sizes,item_tyles,item_reviews,item_summary
//cdn.shopify.com/s/files/1/0058/4538/5314/products/lttstore_ComponentsButtonup_TransparencyFile_700x.png?v=1636656902,Party Shirt,"$34.99
U",https://www.lttstore.com//collections/clothing/products/party-shirt,"['S', 'M', 'L', 'XL', '2XL', '3XL']",, 139 reviews ,"Our first button-up, the LTT Party Shirt is designed to be light and cool enough to wear in the summer while showing off your techie nature with a cool patterned print.
 
Relaxed fit - we recommend sizing up if you're between sizes.
 
"
//cdn.shopify.com/s/files/1/0058/4538/5314/products/lttstore_BlankSweatpants_TransparencyFile_700x.png?v=1652474164,Stealth Sweatpants,"$49.99
U",https://www.lttstore.com//collections/clothing/products/stealth-sweatpants,"['S', 'M', 'L', 'XL', '2XL', '3XL']","['Short', 'Mid-length', 'Long']", 5 reviews ,"Designed with the same fabric as our blank hoodies, our Stealth Sweatpants are here!Features:- 100% cotton French Terry fabric- YKK zippers- 3 lengths for optimal fitWe have received some feedback from buyers of the WAN Hoodie that not everyone likes the feeling of our French Terry backing. This same material is used on these sweatpants, so if you have concerns about the texture of fabric against your skin, we highly recommend looking closely at pictures 11 & 12 for close-ups of the fabric backing. Fabric texture is all about personal preference, so if you don't like the feeling of French Terry against your skin, stay tuned for future offerings that may align more with your preferences!
      "
//cdn.shopify.com/s/files/1/0058/4538/5314/products/lttstore_HeadphoneT-Shirt_TransparencyFile_700x.png?v=1653693657,Headphone T-shirt,"$19.99
U",https://www.lttstore.com//collections/clothing/products/headphone-t-shirt,"['S', 'M', 'L', 'XL', '2XL', '3XL']",, No reviews ,"Take a stairway into the cosmos with this awesome headphone-inspired t-shirt
      "
//cdn.shopify.com/s/files/1/0058/4538/5314/products/Lttstore_DadHats_TransparencyFile_700x.png?v=1633033156,Dad Hat,"$19.99
U",https://www.lttstore.com//collections/clothing/products/dad-hat,[],"['Classic', 'Components', 'RGB', 'Automagically', 'Property']", 92 reviews ,"Who knew dad style was this cool?
All LTT Dad Hats feature an LTT logo embroidered on the back (EXCEPT the Washed Black RGB hat, which has no rear embroidery) and an adjustable strap. We're also offering a variety of LTT- and tech-themed front embroideries in a number of colors.
 
MaterialsFabric: 100% cottonClasp: Aluminum
"
//cdn.shopify.com/s/files/1/0058/4538/5314/products/Lttstore_PlaidFlannel_TransparencyFile_700x.png?v=1643414774,Plaid Flannel,"$59.99
U",https://www.lttstore.com//collections/clothing/products/plaid-flannel,"['S', 'M', 'L', 'XL', '2XL', '3XL']",, 176 reviews ,"This 100% cotton Buffalo check button-up features 2 side pockets, 2 chest pockets, an LTT-embossed chest patch, and ultimate comfort.
"
//cdn.shopify.com/s/files/1/0058/4538/5314/products/lttstore_ScrewdriverTee_TransparencyFile_700x.png?v=1652485234,Screwdriver T-shirt,"$19.99
U",https://www.lttstore.com//collections/clothing/products/screwdriver-t-shirt,"['S', 'M', 'L', 'XL', '2XL', '3XL']",, 1 review ,"You can't buy the LTT screwdriver yet, but in the meantime we've got a beautiful new screwdriver design to tide you over :D
      "
//cdn.shopify.com/s/files/1/0058/4538/5314/products/lttstore_Swacket_TransparencyFile_700x.png?v=1638580343,Swacket,"$99.99
U",https://www.lttstore.com//collections/clothing/products/swacket,"['S', 'M', 'L', 'XL', '2XL', '3XL']",, 185 reviews ,"AN UPDATED CLASSIC HAS ARRIVED! OUR SWACKET V2 FOLLOWS SIMILAR INSPIRATION TO THE ORIGINAL, WITH AN UPDATED DESIGN AND CONSISTENT FABRIC THROUGHOUT THE WHOLE GARMENT.
FOLLOW WASH & DRY INSTRUCTIONS CAREFULLY. THE LTT PRINT ON THE ARM IS QUITE HEAT-SENSITIVE AND MAY CRACK, PEEL, OR FADE IF NOT PROPERLY CARED FOR.
﻿KEEP AWAY FROM ROUGH SURFACES﻿. THE SMOOTH FABRIC ON THE FULL BODY OF THE SWACKET MAY SHED IF RUBBED AGAINST A ROUGH SURFACE.
"
//cdn.shopify.com/s/files/1/0058/4538/5314/products/lttstore_WANHoodie_TransparencyFile_700x.png?v=1635296502,WAN Hoodie,"$89.99
U",https://www.lttstore.com//collections/clothing/products/wan,"['S', 'M', 'L', 'XL', '2XL', '3XL']",, 902 reviews ,"GET THE MATCHING PANTS https://www.lttstore.com/collections/clothing/products/wan-sweatpants 
ADDITIONAL RESTOCKS Q1 & Q2 2022
THE LONG-AWAITED WAN HOODIE IS HERE!
WE MODERNIZED THE STYLE OF THIS FUNCTIONAL AND TECHNICAL HOODIE, AND UPGRADED THE QUALITY OF ITS MATERIALS.
THIS SUPER COMFY ZIP-UP HOODIE FEATURES 1 KANGA POCKET AND 7 ADDITIONAL POCKETS.
"
//cdn.shopify.com/s/files/1/0058/4538/5314/products/lttstore_TechTipsScriptCrewneckBlack_TransparencyFile_700x.png?v=1653090056,Embroidered Women's Sweater - Black,"$49.99
U",https://www.lttstore.com//collections/clothing/products/embroidered-womens-sweater-black,[],"['Script', 'Block', 'XS', 'S', 'M', 'L', 'XL', '2XL', '3XL']", No reviews ,"THIS ITEM IS LISTED AS PRE-SALE. ALL SWEATERS WILL BE EMBROIDERED FOLLOWING PURCHASE, AND MAY TAKE 4-6 WEEKS TO PRODUCE & SHIP.
ALL ITEMS WILL BE SHIPPED TOGETHER - IF YOU ORDER MORE ITEMS THAN JUST THIS SHIRT, THEY WILL ALL SHIP ONCE YOUR SHIRT IS READY.
ALL ORDERS SHOULD SHIP BY JUNE 20 2022
"
//cdn.shopify.com/s/files/1/0058/4538/5314/products/lttstore_TechTipsSerifSweatsBlack_TransparencyFile_700x.png?v=1653090075,Embroidered Women's Pants - Black,"$49.99
U",https://www.lttstore.com//collections/clothing/products/embroidered-womens-pants-black,[],"['Script', 'Block', 'XS', 'S', 'M', 'L', 'XL', '2XL', '3XL', 'Short', 'Mid', 'Long']", No reviews ,"THIS ITEM IS LISTED AS PRE-SALE. ALL PANTS WILL BE EMBROIDERED FOLLOWING PURCHASE, AND MAY TAKE 4-6 WEEKS TO PRODUCE & SHIP.
ALL ITEMS WILL BE SHIPPED TOGETHER - IF YOU ORDER MORE ITEMS THAN JUST THIS SHIRT, THEY WILL ALL SHIP ONCE YOUR SHIRT IS READY.
ALL ORDERS SHOULD SHIP BY JUNE 20 2022
"
